Index,affected_asn,affected_prefix,domain,edit_distance,end_time,event_id,event_type,prefix_list,start_time,status,suspicious_links,suspicious_links_nation,vp_count
323,59497,176.110.102.0/23,,354.62887393558185,1762441569000,ARES-HIJACK-1762441144-59497-176.110.102.0/23-AGGREGATED,Finish Path Hijack,176.110.102.0/23;176.110.102.0/24,1762441144000,Finish,59497;6939,UA;US,5
324,271042,177.36.19.0/24,,624.1164925505283,1762436035000,ARES-HIJACK-1762433668-271042-177.36.19.0/24-AGGREGATED,Finish Path Hijack,177.36.19.0/24;177.36.18.0/24,1762433668000,Finish,271042;273478,BR;BR,6
325,271042,177.36.16.0/24,,549.2480156169548,1762436035000,ARES-HIJACK-1762433117-271042-177.36.16.0/24-AGGREGATED,Finish Path Hijack,177.36.16.0/24,1762433117000,Finish,271042;273478,BR;BR,6
326,8369,195.114.122.0/24,,189.99604145737453,1762433441000,ARES-HIJACK-1762432508-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762432508000,Finish,8369;41327,RU;IT,1
327,134840,116.206.193.0/24,,323.6818410358233,1762435026000,ARES-HIJACK-1762430629-134840-116.206.193.0/24-AGGREGATED,Finish Path Hijack,116.206.193.0/24;121.46.71.0/24,1762430629000,Finish,58453;45558,HK;MM,6
328,8369,195.114.122.0/24,,218.9129217893552,1762428410000,ARES-HIJACK-1762427530-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762427530000,Finish,8369;41327,RU;IT,1
329,263496,191.243.56.0/21,,193.1675028093257,1762425889000,ARES-HIJACK-1762425313-263496-191.243.56.0/21-AGGREGATED,Finish Path Hijack,191.243.56.0/21,1762425313000,Finish,263496;37721,BR;BF,1
330,11090,206.55.108.0/24,,161.08152563728387,1762426001000,ARES-HIJACK-1762423980-11090-206.55.108.0/24-AGGREGATED,Finish Path Hijack,206.55.108.0/24,1762423980000,Finish,11090;852,US;CA,1
331,11090,206.55.108.0/24,,239.61286326565008,1762423055000,ARES-HIJACK-1762421338-11090-206.55.108.0/24-AGGREGATED,Finish Path Hijack,206.55.108.0/24,1762421338000,Finish,11090;852,US;CA,1
332,198610,155.212.184.0/21,,634.3150378925857,1762448603000,ARES-HIJACK-1762416802-198610-155.212.184.0/21-AGGREGATED,Finish Path Hijack,155.212.184.0/21,1762416802000,Finish,198610;33891,RU;DE,1
333,8369,195.114.122.0/24,,284.3565993199489,1762416481000,ARES-HIJACK-1762415557-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762415557000,Finish,8369;41327,RU;IT,1
334,29061,217.29.31.0/24,,458.4488989941916,1762427279000,ARES-HIJACK-1762411974-29061-217.29.31.0/24-AGGREGATED,Finish Path Hijack,217.29.31.0/24;217.29.29.0/24;185.53.228.0/24;92.62.69.0/24;92.62.70.0/24;95.87.72.0/22,1762411974000,Finish,61010;6939,KG;US,6
335,216071,212.34.139.0/24,,284.3172018352844,1762411432000,ARES-HIJACK-1762410928-216071-212.34.139.0/24-AGGREGATED,Finish Path Hijack,212.34.139.0/24,1762410928000,Finish,216071;50673,AE;NL,2
336,36914,197.138.133.0/24,,172.67254979144712,1762404906000,ARES-HIJACK-1762401007-36914-197.138.133.0/24-AGGREGATED,Finish Path Hijack,197.138.133.0/24,1762401007000,Finish,2914;5405,US;DE,2
337,8369,195.114.122.0/24,,283.5560444827543,1762401716000,ARES-HIJACK-1762400793-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762400793000,Finish,8369;41327,RU;IT,1
338,43627,46.36.64.0/20,kli.lt;buk.lt,429.7747497008965,1762392136000,ARES-HIJACK-1762390415-43627-46.36.64.0/20-AGGREGATED,Finish Path Hijack,46.36.64.0/20;46.36.88.0/22;46.36.92.0/22,1762390415000,Finish,34120;33891,LT;DE,3
339,32738,208.70.57.0/24,,546.1414375399744,1762376103000,ARES-HIJACK-1762375844-32738-208.70.57.0/24-AGGREGATED,Finish Path Hijack,208.70.57.0/24,1762375844000,Finish,32738;6939,CA;US,6
340,8369,195.114.122.0/24,,283.5560444827543,1762367066000,ARES-HIJACK-1762366137-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762366137000,Finish,8369;41327,RU;IT,1
341,262865,45.160.128.0/22,,257.14627734859783,1762436266000,ARES-HIJACK-1762366120-262865-45.160.128.0/22-AGGREGATED,Finish Path Hijack,45.160.128.0/22,1762366120000,Finish,262865;3549,BR;US,2
342,4007,110.34.20.0/24,,299.6370627911318,1762424325000,ARES-HIJACK-1762355230-4007-110.34.20.0/24-AGGREGATED,Finish Path Hijack,110.34.20.0/24,1762355230000,Finish,9498;152144,IN;SG,6
