Index,affected_asn,affected_prefix,domain,edit_distance,end_time,event_id,event_type,leak_asn,prefix_list,start_time,status,suspicious_links,suspicious_links_nation,vp_count
29,51540,185.70.84.0/24,,398.6016529722997,1765897886000,ARES-HIJACK-1765882584-51540-185.70.84.0/24-Leak-AGGREGATED,Finish Path Leak,6205,185.70.84.0/24,1765882584000,Finish,9121;6205,TR;TR,8
30,263611,179.124.20.0/24,,1430.501006007522,1765982972000,ARES-HIJACK-1765885998-263611-179.124.20.0/24-Leak-AGGREGATED,Finish Path Leak,264169,179.124.20.0/24,1765885998000,Finish,16735;264169,BR;BR,22
31,9228,203.77.235.0/24,,1181.8021557491188,1765924381000,ARES-HIJACK-1765920856-9228-203.77.235.0/24-Leak-AGGREGATED,Finish Path Leak,45147,203.77.235.0/24;203.77.243.0/24;203.77.244.0/24;203.77.253.0/24,1765920856000,Finish,9002;45147,GB;ID,14
32,138423,121.91.63.0/24,hrsgssp.com;hrsgintranet.com;hrsgoctofy.com,811.1718086040604,1765974246000,ARES-HIJACK-1765969969-138423-121.91.63.0/24-Leak-AGGREGATED,Finish Path Leak,59257,121.91.63.0/24,1765969969000,Finish,38193;59257,PK;PK,14
33,36909,45.221.197.0/24,,252.58366069650742,1766231862000,ARES-HIJACK-1766224072-36909-45.221.197.0/24-Leak-AGGREGATED,Finish Path Leak,30990,45.221.197.0/24,1766224072000,Finish,9304;30990,HK;DJ,6
34,32489,204.187.101.0/24,woibex.com;datamatixgroup.com,1206.328153544806,1766604265000,ARES-HIJACK-1766517492-32489-204.187.101.0/24-Leak-AGGREGATED,Finish Path Leak,214329,204.187.101.0/24,1766517492000,Finish,32489;214329,CA;SA,14
35,138322,103.42.0.0/22,,922.0668914936956,1766767593000,ARES-HIJACK-1766762928-138322-103.42.0.0/22-Leak-AGGREGATED,Finish Path Leak,47139,103.42.0.0/22,1766762928000,Finish,12389;47139,RU;TJ,11
36,38742,43.250.137.0/24,,565.6991816583424,1766767578000,ARES-HIJACK-1766762903-38742-43.250.137.0/24-Leak-AGGREGATED,Finish Path Leak,47139,43.250.137.0/24,1766762903000,Finish,12389;47139,RU;TJ,8
37,38742,23.88.199.0/24,,887.9122357796484,1766767687000,ARES-HIJACK-1766763041-38742-23.88.199.0/24-Leak-AGGREGATED,Finish Path Leak,47139,23.88.199.0/24;23.88.207.0/24,1766763041000,Finish,12389;47139,RU;TJ,9
38,138423,121.91.63.0/24,hrsgintranet.com;hrsgoctofy.com;hrsgssp.com,803.6495968161707,1766822904000,ARES-HIJACK-1766819600-138423-121.91.63.0/24-Leak-AGGREGATED,Finish Path Leak,59257,121.91.63.0/24,1766819600000,Finish,38193;59257,PK;PK,14
39,327885,196.249.81.0/24,,429.4001375423209,1767378766000,ARES-HIJACK-1767210640-327885-196.249.81.0/24-Leak-AGGREGATED,Finish Path Leak,327708,196.249.81.0/24,1767210640000,Finish,30844;327708,GB;RW,7
40,327885,196.249.114.0/24,,1135.9316587054957,1767295860000,ARES-HIJACK-1767294385-327885-196.249.114.0/24-Leak-AGGREGATED,Finish Path Leak,37133,196.249.114.0/24,1767294385000,Finish,58453;37133,HK;TZ,17
