Index,Description,attacker,data-plane-detection,detail_param,duration,end_time,event_type,example_prefix,hijack_as_percent,level,level_reason,prefix_list,prefix_num,start_time,victim
423,Victim:RO/AS 9009 (M247)<br> Attacker:BR/AS 262287 (),262287,Not done,[object Object],657650,1762450814160,Possible Hijack,198.145.157.0/24,15.05,low,,198.145.157.0/24,1,1762450156510,9009
424,Victim:US/AS 204957 (GREENFLOID-AS)<br> Attacker:US/AS 834 (IPXO),834,Not done,[object Object],20347770,1762456846990,Possible Hijack,157.254.248.0/24,85.39,middle,204957 is Cloud|IDC|CDN or top content provider.,157.254.248.0/24,1,1762436499220,204957
425,Victim:US/AS 6079 (RCN-AS)<br> Attacker:CA/AS 55286 (SERVER-MANIA),55286,No Result,[object Object],736750,1760421430170,Possible Hijack,38.152.195.0/24,12.86,low,,38.152.195.0/24,1,1760420693420,6079
426,Victim:CY/AS 44559 (ITHOSTLINE)<br> Attacker:GB/AS 214238 (iwihost),214238,Not done,[object Object],421440,1759851655150,Possible Hijack,154.81.198.0/24,97.26,low,,154.81.198.0/24;154.81.196.0/24;154.81.197.0/24;154.81.199.0/24;45.199.214.0/24;45.199.212.0/24;45.199.211.0/24;45.199.220.0/24;45.199.216.0/24;45.199.215.0/24;45.199.213.0/24;45.199.218.0/24;45.199.217.0/24;45.199.219.0/24;45.199.210.0/24;45.199.209.0/24,16,1759851233710,44559
427,Victim:US/AS 20001 (TWC-20001-PACWEST)<br> Attacker:US/AS 397630 (AS-BLAZINGSEO),397630,High Possibility,[object Object],1902267370,1761299619840,Possible Hijack,130.254.104.0/24,95.18,low,,130.254.104.0/24;130.254.112.0/24;192.171.88.0/24;69.58.76.0/24;167.160.78.0/24;167.160.74.0/24;69.58.77.0/24;208.89.242.0/24,8,1759397352470,20001
428,Victim:BR/AS 268712 ()<br> Attacker:BR/AS 262673 (),262673,Not done,[object Object],550142030,1767757770760,Possible Hijack,2804:5998:c000::/34,15.49,low,,2804:5998:c000::/34;2804:5998:c000::/34,2,1767207628730,268712
429,Victim:US/AS 214483 (FIBERPOWER-AS)<br> Attacker:US/AS 7346 (DATAF-AS),7346,Not Hijacking,[object Object],752750,1760611398620,Possible Hijack,23.131.164.0/24,86.25,low,,23.131.164.0/24,1,1760610645870,214483
430,Victim:IR/AS 212077 (abrisham)<br> Attacker:/AS 210707 (),210707,Not Hijacking,[object Object],1306340,1764830633700,Possible Hijack,89.23.126.0/24,79,low,,89.23.126.0/24,1,1764829327360,212077
431,Victim:ES/AS 197649 (ServersGame)<br> Attacker:US/AS 834 (IPXO),834,No Result,[object Object],104884150,1764443337210,Possible Hijack,45.149.101.0/24,93.55,low,,45.149.101.0/24,1,1764338453060,197649
432,Victim:GB/AS 215476 (InsideNetwork)<br> Attacker:US/AS 30036 (MEDIACOM-ENTERPRISE-BUSINESS),30036,High Possibility,[object Object],17963280,1763072199040,Possible Hijack,77.90.185.0/24,67.95,low,,77.90.185.0/24,1,1763054235760,215476
433,Victim:US/AS 21840 (SAGO NET)<br> Attacker:NL/AS 60781 (LEASEWEB-NL-AMS-01),60781,No Result,[object Object],214230,1763022437700,Possible Hijack,103.49.40.0/24,10.47,low,,103.49.40.0/24,1,1763022223470,21840
434,Victim:/AS 205886 ()<br> Attacker:US/AS 35916 (MULTA-ASN1),35916,Not done,[object Object],1481160,1761711310930,Possible Hijack,163.5.104.0/24,3.23,low,,163.5.104.0/24,1,1761709829770,205886
